LoadCellID,Model,Sensor_SN,Sensor_ItemNo,Sensor_Model,Instrument_SN,Instrument_ItemNo,Instrument_Model
Q13901,5mm AFG,902653,FSH04097,LSB205,748063,FSH03864,IAA200
Q13902,5mm AFG,902654,FSH04097,LSB205,748064,FSH03864,IAA200
Q13903,5mm AFG,902655,FSH04097,LSB205,748065,FSH03864,IAA200
Q9454,EB210,674268,FSH00105,LSB200,701271,FSH03633,IPM650
Q12479,EB210,809879,QSH02033,LSB201,811651,FSH03633,IPM650
Q12477,EB210,809878,QSH02033,LSB201,811650,FSH03633,IPM650
Q14561,EB210,1052474,QSH02033,LSB201,1064115,FSH03633,IPM650
Q9459,EB211,677646,FSH00105,LSB200,709092,FSH03633,IPM650
Q9455,EB211,674269,FSH00105,LSB200,701275,FSH03633,IPM650
Q12478,EB211,809877,QSH02033,LSB201,811649,FSH03633,IPM650
Q13261,MD AFG,881250,FSH04097,LSB205,879041,FSH03864,IAA200
Q13262,MD AFG,881249,FSH04097,LSB205,878040,FSH03864,IAA200
Q13263,MD AFG,881251,FSH04097,LSB205,879042,FSH03864,IAA200
Q13356,MD Manual,894969,QSH02033,LSB201,886504,FSHO3633,IPM650
Q12533,MD Manual,805519,QSH02033,LSB201,807776,FSH03633,IPM650
Q14564,MD Manual,1052475,QSH02033,LSB201,1065570,FSH03633,IPM650
Q12534,Single Step,805518,QSH02033,LSB201,807777,FSH03633,IPM650
Q13237,Single Step,885055,QSH02033,LSB201,878545,FSH03633,IPM650
Q11421,Single Step,769261,FSH03876,LSB200,765547,FSH03633,IPM650
